LargestPropertyUseType,Neighborhood,PrimaryPropertyType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,PropertyGFATotal,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,YearBuilt,SiteEnergyUse(kBtu),TotalGHGEmissions
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Office,None,70000.0,90000,20000.0,0.0,87.0,47.54983,-122.32858,1.0,2,90000,0,1967,1429146.375,17.17
Retail Store,GREATER DUWAMISH,Retail Store,None,None,50200.0,50200,0.0,0.0,,47.55032,-122.32614,1.0,1,50200,0,1966,1047461.0,32.22
Non-Refrigerated Warehouse,BALLARD,Warehouse,None,None,63240.0,63240,0.0,0.0,100.0,47.66724,-122.38553,1.0,2,63240,0,1941,227566.7031,8.15
Parking,BALLARD,Other,Retail Store,None,182454.0,322869,130744.0,0.0,,47.66233,-122.3748,1.0,5,140415,182454,2008,17085344.0,413.35
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,Self-Storage Facility,Parking,None,130293.0,130293,8800.0,0.0,,47.64676,-122.37581,1.0,4,106893,23400,1988,465533.3125,3.25
Non-Refrigerated Warehouse,MAGNOLIA / QUEEN ANNE,Warehouse,None,None,106041.0,106041,0.0,0.0,94.0,47.65567,-122.37478,1.0,4,106041,0,1997,1123943.0,25.58
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,Self-Storage Facility,None,None,94470.0,94470,0.0,0.0,,47.63634,-122.3754,1.0,3,94470,0,1956,1000796.875,33.18
Office,DOWNTOWN,Large Office,Parking,Other,150840.0,181694,26946.0,2155.0,88.0,47.59963,-122.32796,1.0,10,143508,38186,2002,7637986.0,53.25
Retail Store,NORTHEAST,Retail Store,Other,None,69800.0,69492,0.0,0.0,100.0,47.66178,-122.31812,1.0,2,69492,0,1987,318962.8125,2.22
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,22780.0,22780,0.0,0.0,33.0,47.54769,-122.3251,1.0,1,22780,0,1966,402051.3125,2.8
Distribution Center,GREATER DUWAMISH,Distribution Center,Parking,None,124423.0,124472,0.0,0.0,62.0,47.54187,-122.32714,1.0,1,124472,0,1967,5464762.0,237.36
Office,DOWNTOWN,Large Office,Parking,None,227556.0,227556,77887.79688,0.0,95.0,47.60411,-122.33225,1.0,22,129000,98556,1970,8493420.0,59.21
Distribution Center,GREATER DUWAMISH,Distribution Center,Parking,None,49918.0,50065,0.0,0.0,72.0,47.54187,-122.32714,1.0,1,50065,0,1967,1529510.25,42.65
Distribution Center,GREATER DUWAMISH,Distribution Center,None,None,57540.0,57540,0.0,0.0,26.0,47.54621,-122.33486,1.0,1,57540,0,1969,2582687.0,76.68
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,85400.0,85400,0.0,0.0,49.0,47.54853,-122.32814,1.0,1,85400,0,1966,1536998.25,10.72
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,55700.0,55700,0.0,0.0,63.0,47.54912,-122.32819,1.0,1,55700,0,1966,519806.0938,3.62
Office,GREATER DUWAMISH,Small and Mid-Sized Office,Parking,None,52759.0,53250,0.0,0.0,96.0,47.54965,-122.3278,1.0,1,53250,0,1964,1794187.25,46.93
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,78672.0,78672,0.0,0.0,98.0,47.62476,-122.34843,1.0,6,50245,28427,1987,2179719.75,28.63
Non-Refrigerated Warehouse,NORTHWEST,Warehouse,None,None,64660.0,64660,0.0,0.0,89.0,47.71286,-122.34422,1.0,3,64660,0,1986,325513.0,6.32
Other,EAST,Mixed Use Property,Office,Parking,28442.0,75844,28441.0,18961.0,,47.61552,-122.31744,1.0,2,55916,19928,1927,3684188.5,38.48
Distribution Center,GREATER DUWAMISH,Distribution Center,None,None,162425.0,161678,0.0,0.0,25.0,47.5701,-122.33342,1.0,1,161678,0,1968,9357230.0,204.81
Distribution Center,GREATER DUWAMISH,Distribution Center,None,None,101101.0,101101,0.0,0.0,1.0,47.56874,-122.33303,1.0,1,101101,0,1949,21795830.0,152.71
Distribution Center,GREATER DUWAMISH,Distribution Center,None,None,59504.0,52613,0.0,0.0,80.0,47.57023,-122.33241,1.0,1,52613,0,1980,1061458.25,32.02
Other,GREATER DUWAMISH,Other,Office,None,45340.0,56608,11520.0,0.0,,47.56785,-122.33361,1.0,1,56608,0,1940,5094197.0,74.31
Refrigerated Warehouse,GREATER DUWAMISH,Refrigerated Warehouse,Office,Parking,100000.0,104099,4099.0,0.0,,47.56637,-122.33273,1.0,1,104099,0,1953,17695420.0,142.36
Supermarket/Grocery Store,NORTHWEST,Supermarket and Grocery Store,Parking,None,51722.0,58184,0.0,0.0,41.0,47.69267,-122.35506,1.0,1,50734,7450,2003,14715262.0,414.43
Supermarket/Grocery Store,NORTH,Supermarket and Grocery Store,None,None,44431.0,58480,0.0,0.0,37.0,47.73315,-122.3105,1.0,1,58480,0,1980,11054535.0,272.54
Office,LAKE UNION,Large Office,Parking,Retail Store,217977.0,336700,4569.0,0.0,95.0,47.62029,-122.33078,1.0,6,211900,124800,2005,9058916.0,54.92
Retail Store,LAKE UNION,Retail Store,None,None,98863.0,264008,0.0,0.0,42.0,47.62,-122.33027,1.0,4,104014,159994,1996,9937707.0,190.61
Office,CENTRAL,Small and Mid-Sized Office,Parking,Other - Services,60676.0,62220,13780.0,1324.0,32.0,47.59367,-122.30957,1.0,2,62220,0,1914,5444253.5,38.55
Office,GREATER DUWAMISH,Small and Mid-Sized Office,Other,None,60732.0,65430,8142.0,0.0,89.0,47.59388,-122.31124,1.0,1,65430,0,1970,3181045.5,90.24
Office,NORTHEAST,Large Office,Parking,None,83715.0,102290,18575.0,0.0,26.0,47.66517,-122.30186,1.0,3,59850,42440,2006,6062770.5,49.17
Other,CENTRAL,Other,None,None,74864.0,80004,0.0,0.0,,47.6144,-122.30982,1.0,3,80004,0,1926,12232124.0,85.28
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Office,None,263528.0,323916,60388.0,0.0,92.0,47.56407,-122.32765,1.0,2,323916,0,1991,8024064.5,262.45
Office,GREATER DUWAMISH,Mixed Use Property,Parking,Medical Office,218918.0,304052,156487.0,84051.89844,66.0,47.5928,-122.31599,1.0,14,304052,0,1932,21027396.0,247.35
Office,LAKE UNION,Small and Mid-Sized Office,Parking,Data Center,50235.0,85385,25525.0,2875.0,,47.64037,-122.32626,1.0,4,54175,31210,1978,4855036.5,33.85
Distribution Center,GREATER DUWAMISH,Distribution Center,Office,None,63896.0,98024,33712.0,0.0,94.0,47.53687,-122.33316,1.0,2,98024,0,1989,1988334.5,42.25
Office,LAKE UNION,Mixed Use Property,Parking,Other,20000.0,65000,15000.0,10000.0,,47.62405,-122.33084,1.0,1,50000,15000,1928,2603931.25,63.89
Office,LAKE UNION,Large Office,Parking,None,78521.0,144573,66650.0,0.0,62.0,47.62488,-122.33007,1.0,5,77953,66620,1990,5135040.0,35.8
Retail Store,NORTH,Retail Store,None,None,302812.0,302812,0.0,0.0,97.0,47.70759,-122.3255,1.0,2,302812,0,1950,7290824.5,129.29
Office,NORTHWEST,Small and Mid-Sized Office,None,None,78200.0,86400,0.0,0.0,53.0,47.70744,-122.33171,1.0,5,86400,0,1974,9080022.0,293.55
Office,NORTHWEST,Small and Mid-Sized Office,Parking,None,86483.0,86483,0.0,0.0,56.0,47.70732,-122.33279,1.0,6,86483,0,1981,6361236.5,44.35
Distribution Center,DELRIDGE,Distribution Center,Office,None,34400.0,51600,17200.0,0.0,75.0,47.53926,-122.34143,1.0,1,51600,0,1976,1124543.125,22.1
Non-Refrigerated Warehouse,DELRIDGE,Warehouse,None,None,140520.0,140520,0.0,0.0,61.0,47.53689,-122.33847,1.0,1,140520,0,1968,2225512.0,57.73
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,None,91645.0,154029,66288.0,0.0,95.0,47.63116,-122.34193,1.0,5,91649,62380,1986,4636396.5,58.88
Parking,NORTHWEST,Other,Medical Office,None,91935.0,161789,69854.0,0.0,,47.70887,-122.33494,1.0,3,69854,91935,2005,6963616.5,49.28
Medical Office,NORTHWEST,Medical Office,Retail Store,None,60670.0,63909,3239.0,0.0,,47.7126,-122.33782,1.0,3,63909,0,2005,4765753.5,33.22
Non-Refrigerated Warehouse,NORTHWEST,Warehouse,Office,None,46846.0,53472,10033.0,0.0,,47.69814,-122.34295,1.0,2,53472,0,1948,971155.625,34.0
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,50417.0,50417,0.0,0.0,14.0,47.52696,-122.32913,1.0,1,50417,0,1980,1847401.0,58.67
Restaurant,DOWNTOWN,Restaurant,None,None,43728.0,43728,0.0,0.0,,47.60613,-122.34115,1.0,1,43728,0,1900,11508035.0,611.19
Medical Office,NORTHWEST,Medical Office,None,None,133298.0,133298,0.0,0.0,21.0,47.70449,-122.33272,1.0,3,133298,0,1961,15640994.0,295.48
Retail Store,NORTH,Retail Store,None,None,173106.0,168619,0.0,0.0,78.0,47.70759,-122.3255,1.0,2,168619,0,1965,6455828.5,91.1
Office,LAKE UNION,Large Office,Parking,None,103970.0,175885,71390.0,0.0,91.0,47.6244,-122.33157,1.0,4,104500,71385,2000,6486377.5,45.22
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,104786.0,104786,0.0,0.0,93.0,47.56089,-122.33474,1.0,2,104786,0,1969,1028376.875,23.86
Other,GREATER DUWAMISH,Other,None,None,51427.0,53040,0.0,0.0,,47.55787,-122.335,1.0,1,11440,41600,2000,1770027.5,49.9
Office,GREATER DUWAMISH,Small and Mid-Sized Office,None,None,53620.0,53620,0.0,0.0,86.0,47.5563,-122.33186,1.0,1,53620,0,1948,2058955.25,22.12
Office,GREATER DUWAMISH,Small and Mid-Sized Office,None,None,50008.0,50008,0.0,0.0,62.0,47.55623,-122.33316,1.0,1,50008,0,1938,3202213.0,65.3
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,None,194674.0,291176,111198.0,0.0,98.0,47.6252,-122.36737,1.0,4,191000,100176,2009,6657348.5,49.74
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Office,None,43920.0,50832,6912.0,0.0,63.0,47.56549,-122.33221,1.0,1,50832,0,1957,2551022.25,107.16
Refrigerated Warehouse,GREATER DUWAMISH,Refrigerated Warehouse,None,None,76486.0,76354,0.0,0.0,70.0,47.56158,-122.32754,1.0,1,76354,0,1971,2843033.5,20.29
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,98480.0,98480,0.0,0.0,65.0,47.56558,-122.32889,1.0,1,98480,0,1956,2831565.5,39.5
Office,LAKE UNION,Mixed Use Property,Parking,Laboratory,66737.0,175918,58218.0,30230.0,,47.63465,-122.32592,1.0,3,124700,51218,2008,22530168.0,640.71
Other,LAKE UNION,Other,Parking,None,106003.0,169785,63782.0,0.0,,47.63108,-122.32746,1.0,3,106003,63782,1920,19155416.0,406.02
Office,LAKE UNION,Large Office,Restaurant,Parking,107594.0,124721,15600.0,12000.0,58.0,47.63,-122.3396,1.0,11,124721,0,1971,13898181.0,365.79
Office,LAKE UNION,Small and Mid-Sized Office,Parking,None,93905.0,94002,31348.0,0.0,70.0,47.63376,-122.33968,1.0,7,94002,0,1970,5662234.0,39.47
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,93020.0,93020,0.0,0.0,60.0,47.55515,-122.3275,1.0,1,93020,0,1974,1252323.875,8.73
Other,DOWNTOWN,Other,Office,None,20310.0,23000,2689.600098,0.0,,47.6153,-122.35014,1.0,1,23000,0,1946,711118.375,25.74
Supermarket/Grocery Store,SOUTHEAST,Supermarket and Grocery Store,Parking,None,54434.0,61053,0.0,0.0,32.0,47.52095,-122.26825,1.0,1,61053,0,2002,13133225.0,306.5
Office,DOWNTOWN,Large Office,None,None,193154.0,154159,0.0,0.0,100.0,47.59878,-122.33458,5.0,7,154159,0,1913,11195917.0,29.43
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,78564.0,78920,0.0,0.0,88.0,47.59895,-122.33379,1.0,5,78920,0,1904,2830674.75,19.73
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,None,65088.0,99440,23857.0,0.0,64.0,47.59855,-122.33327,1.0,7,99440,0,1906,6606832.5,134.69
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,63871.0,73260,0.0,0.0,82.0,47.59856,-122.33379,1.0,6,73260,0,1907,2853189.5,19.89
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,None,34647.0,69817,26039.0,0.0,87.0,47.59979,-122.3338,1.0,4,69817,0,1900,2178074.5,76.8
Office,DOWNTOWN,Small and Mid-Sized Office,Enclosed Mall,None,41609.0,84750,28734.0,0.0,,47.60035,-122.33379,1.0,4,84750,0,1900,2094724.625,26.04
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,Restaurant,45799.0,75496,9739.0,4689.0,,47.60146,-122.33248,1.0,6,62176,13320,1900,3570161.75,24.89
Office,DOWNTOWN,Large Office,Retail Store,None,123607.0,164380,20795.0,0.0,79.0,47.59962,-122.33247,1.0,4,164380,0,1900,7655751.0,130.31
Office,DOWNTOWN,Large Office,None,None,160580.0,160580,0.0,0.0,98.0,47.59858,-122.33198,1.0,7,160580,0,1907,4336187.5,99.59
Office,DOWNTOWN,Small and Mid-Sized Office,Non-Refrigerated Warehouse,Retail Store,47145.0,73470,9477.0,9477.0,83.0,47.60159,-122.32915,1.0,6,73470,0,1909,3212269.0,22.39
Other,DOWNTOWN,Other,Office,Other - Entertainment/Public Assembly,33647.0,67755,19705.0,11988.0,,47.59871,-122.3299,1.0,3,67755,0,1906,1904480.0,13.28
Office,GREATER DUWAMISH,Mixed Use Property,Distribution Center,Non-Refrigerated Warehouse,26250.0,56700,18050.0,12400.0,37.0,47.59334,-122.32905,1.0,3,56700,0,1910,2371575.0,31.58
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Retail Store,None,58472.0,82852,23282.0,0.0,83.0,47.59366,-122.32666,1.0,1,82852,0,1922,2153603.5,65.56
Other,GREATER DUWAMISH,Other,Distribution Center,Office,50500.0,76442,18000.0,7604.0,,47.57941,-122.33131,1.0,2,76442,0,1953,3978277.0,132.6
Distribution Center,GREATER DUWAMISH,Distribution Center,Office,None,85343.0,92792,13435.0,0.0,56.0,47.57658,-122.33054,1.0,2,92792,0,1962,3155496.0,74.18
Manufacturing/Industrial Plant,GREATER DUWAMISH,Other,None,None,142901.0,125519,0.0,0.0,,47.58444,-122.33282,2.0,2,125519,0,1941,2244317.0,15.65
Office,GREATER DUWAMISH,Large Office,None,None,104869.0,129000,0.0,0.0,80.0,47.58361,-122.33369,1.0,4,103200,25800,1900,4374646.0,30.5
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,78814.0,78814,0.0,0.0,69.0,47.58781,-122.33264,1.0,1,78814,0,1954,861972.875,16.48
Distribution Center,GREATER DUWAMISH,Distribution Center,Office,Parking,51040.0,75600,10500.0,6000.0,15.0,47.59403,-122.33367,1.0,6,64800,10800,1910,2688675.75,18.74
Distribution Center,GREATER DUWAMISH,Distribution Center,Non-Refrigerated Warehouse,Office,39884.0,56270,9270.0,4116.0,,47.59363,-122.33371,1.0,4,56270,0,1907,1056782.125,7.37
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,None,43122.0,66842,10514.0,0.0,31.0,47.59701,-122.33378,1.0,4,66842,0,1904,5608600.5,138.35
Office,DOWNTOWN,Small and Mid-Sized Office,Parking,None,65508.0,75288,10918.0,0.0,81.0,47.59639,-122.33368,1.0,6,64488,10800,1909,2891605.0,20.18
Office,DOWNTOWN,Large Office,Data Center,None,183916.0,184322,406.0,0.0,81.0,47.59806,-122.33475,1.0,7,184322,0,1904,9722890.0,67.78
Office,DOWNTOWN,Large Office,Retail Store,None,273812.0,287853,12102.0,0.0,43.0,47.59767,-122.33467,1.0,7,287853,0,2009,25567108.0,182.14
Office,GREATER DUWAMISH,Small and Mid-Sized Office,None,None,63000.0,64512,0.0,0.0,53.0,47.59202,-122.33486,1.0,2,64512,0,1914,5968153.5,180.76
Parking,GREATER DUWAMISH,Mixed Use Property,Office,Other,111774.0,286000,108747.0,49271.0,,47.58924,-122.33566,1.0,6,174226,111774,2009,63835192.0,445.62
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,144050.0,144050,0.0,0.0,26.0,47.58365,-122.33467,1.0,7,144050,0,1926,3929371.0,98.43
Office,GREATER DUWAMISH,Small and Mid-Sized Office,None,None,60384.0,60592,0.0,0.0,16.0,47.58252,-122.33465,1.0,3,60592,0,1930,5049446.5,47.25
Retail Store,GREATER DUWAMISH,Retail Store,None,None,107704.0,107930,0.0,0.0,57.0,47.57842,-122.33558,1.0,1,107930,0,1993,7221482.5,100.42
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,99084.0,99084,0.0,0.0,83.0,47.57096,-122.3355,1.0,1,99084,0,1926,1618110.375,49.25
Distribution Center,DELRIDGE,Distribution Center,None,None,72719.0,72719,0.0,0.0,28.0,47.56676,-122.35247,1.0,1,72719,0,1953,2581741.75,42.74
Office,NORTHEAST,Small and Mid-Sized Office,Parking,Other,53281.0,91706,34701.0,3724.0,2.0,47.66158,-122.31625,1.0,6,55123,36583,2001,8570571.0,59.75
Medical Office,LAKE UNION,Medical Office,Parking,Other,89131.0,129093,37652.0,5615.0,6.0,47.62395,-122.33392,1.0,5,89191,39902,2008,19248732.0,477.85
Office,DELRIDGE,Large Office,Parking,None,119083.0,138106,16221.0,0.0,41.0,47.56787,-122.36419,1.0,5,121885,16221,1991,8381834.5,58.43
Retail Store,GREATER DUWAMISH,Retail Store,None,None,56576.0,56572,0.0,0.0,66.0,47.56664,-122.32346,1.0,1,56572,0,1973,2409429.0,67.29
Office,DOWNTOWN,Large Office,Data Center,Restaurant,303312.0,312512,4738.0,4462.0,,47.59794,-122.32767,1.0,11,312512,0,2000,25747022.0,185.39
Office,DOWNTOWN,Large Office,Parking,Financial Office,914832.0,1592914,348788.0,303910.0,97.0,47.6074,-122.33777,1.0,42,1592914,0,2005,56498868.0,481.06
Office,DOWNTOWN,Small and Mid-Sized Office,Data Center,Retail Store,51881.0,97720,11999.0,9713.0,,47.61077,-122.3361,1.0,6,97720,0,1926,2478025.25,17.28
Medical Office,EAST,Medical Office,None,None,197408.0,422503,0.0,0.0,46.0,47.61002,-122.32222,1.0,10,215923,206580,1985,17254810.0,190.1
Medical Office,CENTRAL,Medical Office,None,None,113739.0,94500,0.0,0.0,68.0,47.60649,-122.31121,1.0,7,94500,0,1987,5792926.0,40.38
Medical Office,EAST,Medical Office,Parking,None,201365.0,302902,86270.0,0.0,58.0,47.60707,-122.3288,1.0,9,201560,101342,2008,14751117.0,130.32
Medical Office,EAST,Medical Office,Parking,None,170727.0,319911,69171.0,0.0,50.0,47.60883,-122.32494,1.0,19,163504,156407,1973,15067340.0,357.39
Office,DOWNTOWN,Large Office,Retail Store,None,114919.0,205521,28643.0,0.0,94.0,47.60353,-122.33558,1.0,6,205521,0,1900,8138616.5,282.46
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,None,46000.0,56700,10500.0,0.0,55.0,47.60197,-122.33437,1.0,6,56700,0,1900,3065954.5,21.37
Office,GREATER DUWAMISH,Small and Mid-Sized Office,None,None,72000.0,72000,0.0,0.0,89.0,47.59554,-122.32471,1.0,4,72000,0,1925,2729167.75,23.48
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,None,103000.0,191146,80000.0,0.0,93.0,47.63347,-122.34078,1.0,4,96254,94892,2000,5101504.5,35.56
Other - Recreation,DELRIDGE,Other,Parking,Swimming Pool,50000.0,68763,11527.0,0.0,,47.56797,-122.36711,1.0,3,57236,11527,2001,9029489.0,310.19
Strip Mall,SOUTHEAST,Other,Parking,None,107427.0,102133,0.0,0.0,,47.56961,-122.28881,3.0,1,102133,0,1994,20725996.0,530.62
Office,DOWNTOWN,Large Office,Parking,Other,232443.0,362046,97874.0,3534.0,86.0,47.61567,-122.33503,1.0,14,362046,0,2008,15725581.0,116.95
Lifestyle Center,MAGNOLIA / QUEEN ANNE,Other,None,None,81385.0,81336,0.0,0.0,,47.62476,-122.35521,3.0,2,81336,0,1994,13085297.0,270.17
Office,DOWNTOWN,Large Office,Parking,None,366554.0,538933,122821.0,0.0,90.0,47.6115,-122.33278,1.0,23,538933,0,2001,16020642.0,111.69
Parking,DOWNTOWN,Other,Office,None,197040.0,275982,78852.0,0.0,,47.61234,-122.34897,1.0,6,78852,197130,1983,5233553.5,36.49
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,98668.0,98668,0.0,0.0,91.0,47.62497,-122.35965,1.0,5,98668,0,1982,4391348.0,30.61
Office,MAGNOLIA / QUEEN ANNE,Large Office,None,None,105100.0,105100,0.0,0.0,1.0,47.65692,-122.37059,1.0,1,105100,0,1978,22078064.0,357.86
Supermarket/Grocery Store,MAGNOLIA / QUEEN ANNE,Supermarket and Grocery Store,Retail Store,"Personal Services (Health/Beauty, Dry Cleaning, etc)",39500.0,57176,15000.0,5500.0,31.0,47.63718,-122.37734,1.0,1,57176,0,2008,12525174.0,0.0
Retail Store,MAGNOLIA / QUEEN ANNE,Retail Store,None,None,50660.0,50660,0.0,0.0,51.0,47.63284,-122.37712,1.0,1,50660,0,1978,2661488.0,60.7
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,39879.0,61929,0.0,0.0,59.0,47.63156,-122.37551,1.0,2,61929,0,1937,2203026.5,55.73
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,Data Center,104667.0,165111,55000.0,5444.0,1.0,47.62302,-122.36476,1.0,4,110111,55000,2000,25478086.0,177.62
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,Data Center,82273.0,129551,42500.0,4778.0,1.0,47.62235,-122.36378,1.0,4,87051,42500,2000,27137190.0,189.18
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,20565.0,20565,0.0,0.0,65.0,47.61588,-122.34965,1.0,3,20565,0,1925,802312.5,5.59
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,None,106449.0,159937,50258.0,0.0,63.0,47.62175,-122.36313,1.0,5,103966,55971,2000,7857972.5,54.78
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,Data Center,133451.0,183964,46763.0,3750.0,56.0,47.62101,-122.36188,1.0,5,137201,46763,2008,14856199.0,103.57
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,None,109978.0,208210,78848.0,0.0,95.0,47.61891,-122.35958,1.0,5,129362,78848,1986,5514308.5,116.74
Office,DOWNTOWN,Large Office,Parking,Other,178625.0,277486,87624.0,14653.0,63.0,47.61813,-122.35833,1.0,7,197203,80283,1986,12729858.0,88.74
Office,DOWNTOWN,Large Office,Non-Refrigerated Warehouse,Other - Recreation,171783.0,187130,9581.0,4413.0,77.0,47.614,-122.35375,1.0,3,187130,0,1993,10053489.0,70.09
Office,DOWNTOWN,Large Office,Data Center,None,126218.0,251044,12717.0,0.0,99.0,47.61287,-122.35022,1.0,5,133177,117867,2000,17186624.0,119.81
Non-Refrigerated Warehouse,DOWNTOWN,Warehouse,None,None,95330.0,154330,0.0,0.0,81.0,47.60703,-122.34038,1.0,5,154330,0,1912,1262235.25,8.8
Office,DOWNTOWN,Large Office,Adult Education,Parking,64055.0,108245,14621.0,12359.0,,47.60604,-122.33948,1.0,6,93555,14690,1918,4515180.5,50.17
Office,DOWNTOWN,Large Office,Retail Store,Data Center,110370.0,167860,19801.0,634.0,70.0,47.6047,-122.33739,1.0,6,167860,0,1905,6797647.0,47.39
Office,DOWNTOWN,Large Office,Retail Store,None,80400.0,112560,16080.0,0.0,86.0,47.60247,-122.33621,1.0,6,112560,0,1910,4946798.5,97.82
Other,DOWNTOWN,Retail Store,Retail Store,None,67670.0,86204,13534.0,0.0,89.0,47.60223,-122.33602,1.0,6,86204,0,1910,3241917.0,69.02
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Office,Other,101633.0,145158,48544.0,10270.0,51.0,47.5829,-122.32417,1.0,2,145158,0,1985,8384523.0,119.46
Office,GREATER DUWAMISH,Large Office,Parking,None,110746.0,112896,57500.0,0.0,66.0,47.58716,-122.32214,1.0,2,112896,0,1951,10287986.0,157.48
Distribution Center,GREATER DUWAMISH,Distribution Center,Office,None,99551.0,110613,11061.0,0.0,95.0,47.58685,-122.32501,1.0,1,110613,0,1960,1015060.188,7.08
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Office,None,119593.0,149881,30288.0,0.0,97.0,47.58553,-122.32511,1.0,4,149881,0,1951,2417401.25,95.86
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,129420.0,98220,0.0,0.0,12.0,47.58042,-122.32552,1.0,3,98220,0,1951,6468090.0,75.29
Distribution Center,GREATER DUWAMISH,Distribution Center,Office,Retail Store,44300.0,84420,24838.0,12349.0,55.0,47.58096,-122.32313,1.0,1,84420,0,1970,2848317.25,19.86
Distribution Center,GREATER DUWAMISH,Distribution Center,Parking,None,73335.0,73335,0.0,0.0,,47.57055,-122.3267,1.0,1,73335,0,1961,5197118.0,155.74
Distribution Center,GREATER DUWAMISH,Distribution Center,Office,Retail Store,48400.0,56876,4276.0,4200.0,,47.5794,-122.32848,1.0,2,56876,0,1928,1791715.625,48.5
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,61200.0,61200,0.0,0.0,16.0,47.58241,-122.32866,1.0,2,61200,0,1931,4912143.0,178.62
Distribution Center,GREATER DUWAMISH,Distribution Center,None,None,109090.0,111908,0.0,0.0,87.0,47.58772,-122.32686,1.0,1,111908,0,1987,1555420.25,34.14
Other - Public Services,GREATER DUWAMISH,Other,Parking,None,65700.0,63644,0.0,0.0,,47.5908,-122.32828,3.0,2,63644,0,1986,6858533.5,168.5
Supermarket/Grocery Store,NORTHWEST,Supermarket and Grocery Store,Parking,Parking,168735.0,141890,0.0,0.0,91.0,47.69197,-122.35877,1.0,1,106345,35545,1970,16865978.0,293.56
Office,BALLARD,Small and Mid-Sized Office,None,None,70074.0,92092,0.0,0.0,5.0,47.6633,-122.37549,1.0,4,71037,21055,2001,4817062.0,33.58
Other,NORTHEAST,Other,Parking,None,119570.0,143439,23869.0,0.0,,47.65529,-122.32133,1.0,6,143439,0,2006,25631512.0,710.7
Office,LAKE UNION,Large Office,Parking,Fitness Center/Health Club/Gym,105206.0,202623,31992.0,6374.0,73.0,47.64912,-122.34823,1.0,4,113768,88855,2008,8873485.0,61.86
Office,LAKE UNION,Small and Mid-Sized Office,None,None,77174.0,77174,0.0,0.0,33.0,47.64932,-122.35187,1.0,2,51374,25800,2000,5481549.0,38.21
Office,MAGNOLIA / QUEEN ANNE,Large Office,Other,Parking,98781.0,110524,8634.0,0.0,57.0,47.62817,-122.34212,1.0,5,110524,0,1998,6859198.0,47.82
Parking,LAKE UNION,Mixed Use Property,Office,Other,97500.0,287224,88051.0,54106.0,,47.6289,-122.32877,1.0,5,183574,103650,2008,21042926.0,314.43
Laboratory,LAKE UNION,Laboratory,None,None,97365.0,115748,0.0,0.0,,47.63079,-122.32693,1.0,4,97366,18382,1999,36436388.0,1154.79
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,None,163082.0,241875,83425.0,0.0,88.0,47.62225,-122.35915,1.0,7,157186,84689,2000,8655604.0,68.06
