LargestPropertyUseType,Neighborhood,PrimaryPropertyType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,PropertyGFATotal,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,YearBuilt,SiteEnergyUse(kBtu),TotalGHGEmissions
K-12 School,NORTHEAST,K-12 School,None,None,182861.0,175565,0.0,0.0,88.0,47.68252,-122.29498,1.0,2,175565,0,1950,6399127.5,266.05
Office,BALLARD,Small and Mid-Sized Office,Non-Refrigerated Warehouse,None,55586.0,94900,39314.0,0.0,57.0,47.66587,-122.38476,1.0,2,94900,0,1961,6186461.5,130.56
Office,GREATER DUWAMISH,Small and Mid-Sized Office,Other - Education,None,51029.0,52554,7849.0,0.0,83.0,47.58034,-122.31132,1.0,2,52554,0,1900,2951331.25,83.86
K-12 School,NORTHWEST,K-12 School,None,None,175015.0,175015,0.0,0.0,95.0,47.68891,-122.33553,1.0,3,175015,0,1954,6994740.5,247.85
Self-Storage Facility,DOWNTOWN,Self-Storage Facility,Vocational School,Office,38439.0,70586,28197.0,3859.0,,47.61351,-122.35129,1.0,3,70586,0,1911,2158629.0,45.43
Hotel,DOWNTOWN,Hotel,None,None,348630.0,332210,0.0,0.0,67.0,47.60946,-122.33337,1.0,24,126240,205970,1969,16163194.0,295.33
Office,DOWNTOWN,Large Office,Retail Store,Data Center,103362.0,168115,65676.0,493.0,78.0,47.6113,-122.33659,1.0,5,168115,0,1973,9536161.0,66.48
Other - Mall,DOWNTOWN,Other,"Personal Services (Health/Beauty, Dry Cleaning, etc)",None,51747.0,57428,5681.0,0.0,,47.61076,-122.33765,1.0,2,57428,0,1920,1247362.0,33.26
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,None,34947.0,59400,4993.0,0.0,14.0,47.61048,-122.33794,1.0,8,59400,0,1910,5071974.0,35.36
Other - Entertainment/Public Assembly,DOWNTOWN,Mixed Use Property,Restaurant,Office,23500.0,52549,23500.0,5459.0,,47.60886,-122.33744,1.0,2,52549,0,1926,15026196.0,584.31
Hotel,DOWNTOWN,Hotel,Parking,Restaurant,83591.0,98634,10043.0,5000.0,71.0,47.61233,-122.33432,1.0,20,88591,10043,1930,4841347.5,59.19
Hotel,DOWNTOWN,Hotel,Parking,Swimming Pool,994212.0,994212,117668.0,0.0,63.0,47.61087,-122.33339,1.0,34,847518,146694,1982,80469216.0,2451.58
Hotel,DOWNTOWN,Hotel,Parking,Retail Store,41340.0,71150,13730.0,9604.0,98.0,47.60997,-122.34138,1.0,7,71150,0,1985,5348309.0,134.38
Hotel,DOWNTOWN,Hotel,Other - Entertainment/Public Assembly,Retail Store,88360.0,122810,26450.0,8000.0,99.0,47.61155,-122.34114,1.0,7,122810,0,1908,5401277.5,227.18
Hotel,LAKE UNION,Hotel,Parking,None,70627.0,113173,42546.0,0.0,86.0,47.61986,-122.34413,1.0,5,70627,42546,1959,5284343.5,144.79
Hotel,LAKE UNION,Hotel,Restaurant,None,107547.0,150453,3000.0,0.0,84.0,47.62001,-122.34274,1.0,7,115718,34735,2000,6715187.0,199.95
Hotel,LAKE UNION,Hotel,Parking,None,88490.0,116300,28300.0,0.0,80.0,47.62025,-122.34314,1.0,6,88100,28200,1997,5827595.5,162.39
Hotel,MAGNOLIA / QUEEN ANNE,Hotel,None,None,155602.0,155602,0.0,0.0,81.0,47.62023,-122.35951,1.0,6,118858,36744,1998,6836900.0,152.76
K-12 School,EAST,K-12 School,None,None,56072.0,56072,0.0,0.0,76.0,47.63442,-122.30793,1.0,3,56072,0,1911,3234787.75,146.34
Hotel,MAGNOLIA / QUEEN ANNE,Hotel,Parking,None,78051.0,122942,44891.0,0.0,94.0,47.62519,-122.34456,1.0,4,78051,44891,1999,5337334.0,171.64
Office,CENTRAL,Small and Mid-Sized Office,None,None,54984.0,54984,0.0,0.0,71.0,47.60823,-122.30956,1.0,2,54984,0,1962,3375211.0,87.98
Senior Care Community,SOUTHWEST,Senior Care Community,Parking,None,296313.0,217603,0.0,0.0,54.0,47.55837,-122.37751,1.0,5,217603,0,1922,42792072.0,1727.11
Senior Care Community,NORTHWEST,Senior Care Community,None,None,93397.0,93397,0.0,0.0,1.0,47.72426,-122.35599,1.0,2,93397,0,1970,16402563.0,609.1
Hotel,LAKE UNION,Hotel,Parking,None,63371.0,84103,20732.0,0.0,74.0,47.61988,-122.33211,1.0,6,63371,20732,2008,3706100.25,67.06
K-12 School,SOUTHWEST,K-12 School,None,None,65568.0,53352,0.0,0.0,,47.5097,-122.37759,1.0,2,53352,0,1948,0.0,4.19
Hotel,EAST,Hotel,None,None,76631.0,76631,0.0,0.0,71.0,47.60898,-122.32693,1.0,7,76631,0,1908,7258758.5,262.75
Medical Office,EAST,Mixed Use Property,Parking,Office,40174.0,99780,20868.0,17020.0,,47.60845,-122.32637,1.0,6,90439,9341,1983,15473117.0,481.97
Retail Store,LAKE UNION,Retail Store,None,None,72072.0,58320,0.0,0.0,96.0,47.62237,-122.33805,1.0,2,58320,0,1929,1049748.625,39.06
Office,LAKE UNION,Large Office,Parking,Other,261826.0,316306,150726.0,15139.0,96.0,47.62424,-122.33646,1.0,5,316306,0,2010,13795954.0,138.85
Hotel,LAKE UNION,Hotel,Parking,None,235788.0,282863,51537.0,0.0,37.0,47.62642,-122.33325,1.0,7,238097,44766,1990,19459304.0,526.85
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,368000.0,389000,0.0,0.0,,47.62208,-122.35398,1.0,1,389000,0,1962,23658978.0,607.41
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,65000.0,91213,0.0,0.0,,47.62208,-122.35398,1.0,1,91213,0,1962,8141155.5,344.2
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,278500.0,396085,0.0,0.0,,47.62208,-122.35398,1.0,5,396085,0,1938,20955026.0,804.2
Office,LAKE UNION,Large Office,Parking,Other,598801.0,571329,310699.0,26203.0,91.0,47.62112,-122.33629,1.0,12,571329,0,2010,39605888.0,617.52
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,52000.0,52000,0.0,0.0,,47.62395,-122.35077,1.0,2,52000,0,1962,2726369.0,101.83
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,108000.0,60696,0.0,0.0,,47.62395,-122.35077,1.0,1,60696,0,1928,875943.3125,6.11
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,296000.0,262048,0.0,0.0,,47.62395,-122.35143,1.0,2,262048,0,1928,20723248.0,490.73
Office,MAGNOLIA / QUEEN ANNE,Large Office,Parking,Other,729584.0,920598,185014.0,6000.0,93.0,47.62419,-122.34443,1.0,6,616891,303707,2010,36667044.0,674.09
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,Parking,Other,48546.0,76213,21454.0,2406.0,68.0,47.62053,-122.35842,1.0,4,50283,25930,1970,3476212.5,48.76
Hotel,MAGNOLIA / QUEEN ANNE,Hotel,Parking,None,59976.0,96910,36934.0,0.0,56.0,47.62291,-122.35708,1.0,6,59976,36934,2002,5155568.5,152.14
Hotel,NORTHEAST,Hotel,Swimming Pool,None,50017.0,50017,0.0,0.0,53.0,47.65772,-122.31756,2.0,4,50017,0,1962,5448975.0,191.2
K-12 School,DELRIDGE,K-12 School,None,None,75364.0,74468,0.0,0.0,,47.5636,-122.358,1.0,3,74468,0,1999,0.0,11.84
K-12 School,EAST,K-12 School,None,None,67743.0,67743,0.0,0.0,34.0,47.62548,-122.30828,1.0,3,67743,0,1923,2646879.0,78.85
K-12 School,EAST,K-12 School,None,None,194104.0,194104,0.0,0.0,100.0,47.62644,-122.30429,1.0,6,194104,0,1908,6219841.5,243.23
Office,SOUTHEAST,Small and Mid-Sized Office,Parking,None,63681.0,99433,35752.0,0.0,63.0,47.58408,-122.30125,1.0,3,63681,35752,2003,4897760.0,34.14
